#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
151,Burundi,38063,,38,,773,,37252,,3051,3,345742,27712,12476142,Africa,328,328320,36,,,2986
152,Andorra,37999,,151,,37135,,713,14,490500,1949,249838,3224965,77470,Europe,2,513,0,,,9204
153,Togo,36798,,272,,36410,,116,,4279,32,689248,80149,8599568,Africa,234,31616,12,,,13
154,Mayotte,36662,,187,,2964,,33511,,129229,659,176919,623615,283699,Africa,8,1517,2,,,118122
155,Guinea,36393,,440,,32939,,3014,49,2652,32,587607,42823,13721693,Africa,377,31186,23,,,220
156,FaeroeIslands,34237,+2193,28,+4,7693,,26516,5,696299,569,778000,15822656,49170,Europe,1,1756,0,44600,81,539272
157,Aruba,33676,,211,,33406,,59,6,313218,1962,177885,1654498,107516,NorthAmerica,3,510,1,,,549
158,Tanzania,33620,,798,,,,,7,538,13,,,62546742,Africa,1860,78379,,,,522
159,Bahamas,33129,+21,771,,26221,+24,6137,9,82934,1930,220066,550905,399463,NorthAmerica,12,518,2,53,,15363
160,Lesotho,32612,,696,,23343,,8573,,15026,321,398053,183404,2170356,Africa,67,3118,5,,,3950
161,Mauritius,30858,,786,,27008,,3064,,24197,616,358675,281256,1275261,Africa,41,1622,4,,,2403
162,Mali,30378,+7,722,,29470,+19,186,,1432,34,620934,29269,21215000,Africa,698,29384,34,0.3,,9
163,Haiti,30342,+2,820,,25210,+2,4312,,2608,70,132422,11384,11632543,NorthAmerica,383,14186,88,0.2,,371
164,Benin,26567,,163,,25506,,898,5,2100,13,604310,47778,12648180,Africa,476,77596,21,,,71
165,Somalia,26313,,1348,,13182,,11783,,1583,81,400466,24086,16626216,Africa,632,12334,42,,,709
166,Congo,23967,,378,,20178,,3411,,4174,66,347815,60567,5742662,Africa,240,15192,17,,,594
167,Timor-Leste,22668,+19,128,,22008,+66,532,9,16668,94,248770,182922,1359981,Asia,60,10625,5,14,,391
168,SaintLucia,22667,+18,358,,22092,+112,217,4,122514,1935,135214,730823,185016,NorthAmerica,8,517,1,97,,1173
169,IsleofMan,22660,,79,,22227,,354,,264170,921,150753,1757479,85778,Europe,4,1086,1,,,4127
170,BurkinaFaso,20751,,375,,20309,,67,,950,17,248995,11395,21850832,Africa,1053,58269,88,,,3
171,Taiwan,20433,+60,853,,18338,+48,1242,,855,36,11566532,484196,23888131,Asia,1169,28005,2,3,,52
172,CaymanIslands,19373,,17,,8553,,10803,2,289154,254,222773,3325020,66999,NorthAmerica,3,3941,0,,,161241
173,Nicaragua,18004,,220,,4225,,13559,,2665,33,,,6754976,NorthAmerica,375,30704,,,,2007
