"Country,Other",Continent,TotalCases,NewCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,New Cases/1M pop,Active Cases/1M pop
Barbados,NorthAmerica,55031,129.0,315.0,52253.0,2463.0,-1.0,191108.0,1094.0,584756.0,2030706.0,287957.0,448.0,8553.0
Syria,Asia,54480,100.0,3071.0,46933.0,4476.0,-1.0,2993.0,169.0,146269.0,8035.0,18203608.0,5.0,246.0
NewCaledonia,Australia/Oceania,53007,-1.0,299.0,42318.0,10390.0,35.0,182758.0,1031.0,98964.0,341208.0,290040.0,-1.0,35823.0
ChannelIslands,Europe,50384,-1.0,143.0,47633.0,2608.0,-1.0,285437.0,810.0,1207943.0,6843288.0,176515.0,-1.0,14775.0
Gabon,Africa,47534,14.0,303.0,46155.0,1076.0,1.0,20555.0,131.0,1569625.0,678734.0,2312576.0,6.0,465.0
PapuaNewGuinea,Australia/Oceania,41038,-1.0,638.0,38856.0,1544.0,7.0,4447.0,69.0,249149.0,27001.0,9227358.0,-1.0,167.0
Seychelles,Africa,39181,-1.0,160.0,38481.0,540.0,-1.0,394354.0,1610.0,-1.0,-1.0,99355.0,-1.0,5435.0
Curaçao,NorthAmerica,38933,18.0,261.0,38352.0,320.0,3.0,235666.0,1580.0,492011.0,2978203.0,165204.0,109.0,1937.0
Burundi,Africa,38063,-1.0,38.0,773.0,37252.0,-1.0,3051.0,3.0,345742.0,27712.0,12476142.0,-1.0,2986.0
Andorra,Europe,37999,-1.0,151.0,37135.0,713.0,14.0,490500.0,1949.0,249838.0,3224965.0,77470.0,-1.0,9204.0
Togo,Africa,36798,-1.0,272.0,36410.0,116.0,-1.0,4279.0,32.0,689248.0,80149.0,8599568.0,-1.0,13.0
Mayotte,Africa,36662,-1.0,187.0,2964.0,33511.0,-1.0,129229.0,659.0,176919.0,623615.0,283699.0,-1.0,118122.0
Guinea,Africa,36393,-1.0,440.0,32939.0,3014.0,49.0,2652.0,32.0,587607.0,42823.0,13721693.0,-1.0,220.0
FaeroeIslands,Europe,34237,2193.0,28.0,7693.0,26516.0,5.0,696299.0,569.0,778000.0,15822656.0,49170.0,44600.0,539272.0
Aruba,NorthAmerica,33676,-1.0,211.0,33406.0,59.0,6.0,313218.0,1962.0,177885.0,1654498.0,107516.0,-1.0,549.0
Tanzania,Africa,33620,-1.0,798.0,-1.0,-1.0,7.0,538.0,13.0,-1.0,-1.0,62546742.0,-1.0,522.0
Bahamas,NorthAmerica,33129,21.0,771.0,26221.0,6137.0,9.0,82934.0,1930.0,220066.0,550905.0,399463.0,53.0,15363.0
Lesotho,Africa,32612,-1.0,696.0,23343.0,8573.0,-1.0,15026.0,321.0,398053.0,183404.0,2170356.0,-1.0,3950.0
Mauritius,Africa,30858,-1.0,786.0,27008.0,3064.0,-1.0,24197.0,616.0,358675.0,281256.0,1275261.0,-1.0,2403.0
Mali,Africa,30378,7.0,722.0,29470.0,186.0,-1.0,1432.0,34.0,620934.0,29269.0,21215000.0,0.3,9.0
Haiti,NorthAmerica,30342,2.0,820.0,25210.0,4312.0,-1.0,2608.0,70.0,132422.0,11384.0,11632543.0,0.2,371.0
Benin,Africa,26567,-1.0,163.0,25506.0,898.0,5.0,2100.0,13.0,604310.0,47778.0,12648180.0,-1.0,71.0
Somalia,Africa,26313,-1.0,1348.0,13182.0,11783.0,-1.0,1583.0,81.0,400466.0,24086.0,16626216.0,-1.0,709.0
Congo,Africa,23967,-1.0,378.0,20178.0,3411.0,-1.0,4174.0,66.0,347815.0,60567.0,5742662.0,-1.0,594.0
Timor-Leste,Asia,22668,19.0,128.0,22008.0,532.0,9.0,16668.0,94.0,248770.0,182922.0,1359981.0,14.0,391.0
SaintLucia,NorthAmerica,22667,18.0,358.0,22092.0,217.0,4.0,122514.0,1935.0,135214.0,730823.0,185016.0,97.0,1173.0
IsleofMan,Europe,22660,-1.0,79.0,22227.0,354.0,-1.0,264170.0,921.0,150753.0,1757479.0,85778.0,-1.0,4127.0
BurkinaFaso,Africa,20751,-1.0,375.0,20309.0,67.0,-1.0,950.0,17.0,248995.0,11395.0,21850832.0,-1.0,3.0
Taiwan,Asia,20433,60.0,853.0,18338.0,1242.0,-1.0,855.0,36.0,11566532.0,484196.0,23888131.0,3.0,52.0
CaymanIslands,NorthAmerica,19373,-1.0,17.0,8553.0,10803.0,2.0,289154.0,254.0,222773.0,3325020.0,66999.0,-1.0,161241.0
Nicaragua,NorthAmerica,18004,-1.0,220.0,4225.0,13559.0,-1.0,2665.0,33.0,-1.0,-1.0,6754976.0,-1.0,2007.0
Tajikistan,Asia,17388,-1.0,124.0,17263.0,1.0,-1.0,1758.0,13.0,-1.0,-1.0,9891902.0,-1.0,0.1
SouthSudan,Africa,16955,-1.0,137.0,13250.0,3568.0,1.0,1486.0,12.0,338083.0,29628.0,11410893.0,-1.0,313.0
EquatorialGuinea,Africa,15877,-1.0,182.0,15653.0,42.0,5.0,10734.0,123.0,273437.0,184860.0,1479157.0,-1.0,28.0
Djibouti,Africa,15547,-1.0,189.0,15352.0,6.0,-1.0,15366.0,187.0,284842.0,281528.0,1011772.0,-1.0,6.0
Gibraltar,Europe,15313,-1.0,101.0,14599.0,613.0,10.0,454743.0,2999.0,513118.0,15237810.0,33674.0,-1.0,18204.0
SanMarino,Europe,14207,-1.0,112.0,13703.0,392.0,4.0,417252.0,3289.0,134668.0,3955123.0,34049.0,-1.0,11513.0
CAR,Africa,14187,-1.0,113.0,6859.0,7215.0,2.0,2855.0,23.0,81294.0,16361.0,4968679.0,-1.0,1452.0
Grenada,NorthAmerica,13679,18.0,216.0,13258.0,205.0,4.0,120641.0,1905.0,136411.0,1203067.0,113386.0,159.0,1808.0
Bhutan,Asia,12194,374.0,6.0,7910.0,4278.0,-1.0,15521.0,8.0,1975337.0,2514213.0,785668.0,476.0,5445.0
Gambia,Africa,11924,-1.0,365.0,11461.0,98.0,4.0,4715.0,144.0,135608.0,53623.0,2528901.0,-1.0,39.0
Liechtenstein,Europe,11908,156.0,78.0,11187.0,643.0,7.0,310841.0,2036.0,80413.0,2099063.0,38309.0,4072.0,16785.0
Yemen,Asia,11769,9.0,2134.0,8689.0,946.0,23.0,381.0,69.0,265253.0,8581.0,30912295.0,0.3,31.0
